Arquivo,Numero,Tema
preposicao_11.pdf,005.00218.2023,Alienação de área de terreno para LRB Participações Societárias e Investimentos Imobiliários S/A
preposicao_12.pdf,005.00217.2023,"Aquisição de área da Companhia de Desenvolvimento de Curitiba, Curitiba S.A."
preposicao_13.pdf,005.00216.2023,Aquisição de área da Companhia de Desenvolvimento de Curitiba pela Prefeitura.
preposicao_14.pdf,005.00215.2023,Autorização para aquisição de área da Curitiba S.A. pelo Poder Executivo.
preposicao_15.pdf,005.00212.2023,Política Municipal de cessão onerosa de direito à nomeação (Naming Rights) de espaços públicos em Curitiba.
preposicao_16.pdf,005.00200.2023,Permuta de áreas com Novaplan Engenharia e Empreendimentos Ltda.
preposicao_17.pdf,005.00186.2023,Política Municipal de Proteção e Atenção Integral aos Órfãos e Órfãs de Feminicídio
preposicao_18.pdf,005.00178.2023,Política Municipal para a População Imigrante e Refugiada
preposicao_19.pdf,005.00170.2023,Leitos adaptados para pacientes com Transtorno do Espectro Autista (TEA) em hospitais e UPAs
preposicao_20.pdf,005.00155.2024,Alteração da estrutura organizacional da Câmara Municipal de Curitiba.
