arquivo,Ata,Data,Assunto,Preposicoes
ata_1.pdf,"Ata da vigésima primeira reunião ordinária da Comissão de Economia, Finanças e Fiscalização",11/dezembro/2024,"Apresentação da fase atual de trabalho e resultados pelos estagiários de pós-graduação do PPGEcon da UFPR, discussão e votação das proposições 013.00003.2024 e 013.00004.2024",013.00003.2024 e 013.00004.2024
ata_2.pdf,"Ata da vigésima reunião da Comissão de Economia, Finanças e Fiscalização",04/dezembro/2024,"Discussão e votação das proposições 005.00019.2024, 005.00135.2024 e 013.00002.2024","005.00019.2024, 005.00135.2024 e 013.00002.2024"
ata_3.pdf,"Ata da décima nona reunião ordinária da Comissão de Economia, Finanças e Fiscalização",vigésimo sétimo dia do mês de novembro de dois mil e vinte e quatro,"Leitura, discussão e aprovação de pareceres referentes às proposições, inclusão de proposição na pauta e pedido de vista","005.00014.2024, 005.000123.2024, 005.00042.2024, 501.00004.2024, 005.00127.2024"
ata_4.pdf,"Ata da décima oitava reunião ordinária da Comissão de Economia, Finanças e Fiscalização",13/novembro/2024,Análise e votação de pareceres de proposições orçamentárias e discussão sobre ofício da Cohab CT,"013.00002.2024, 005.00085.2024, 005.00023.2024, 005.00212.2023, 005.00014.2024, 501.00004.2024, 005.00054.2024, 005.00049.2024"
ata_5.pdf,"Ata da audiência pública da Comissão de Economia, Finanças e Fiscalização",doze de novembro de dois mil e vinte e quatro,Discussão do projeto de lei orçamentária para o ano de dois mil e vinte e cinco,054.00012.2024
ata_6.pdf,"Ata da quarta reunião extraordinária da Comissão de Economia, Finanças e Fiscalização",11/novembro/2024,Apreciação da possibilidade de alterar o cronograma de tramitação da Lei Orçamentária Anual (LOA) para 2025,
ata_7.pdf,"ATA DA TERCEIRA REUNIÃO EXTRAORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",4/novembro/2024,Discussão sobre o projeto de lei 005.00049.2024 e encaminhamento de ofício à Cohab-CT requerendo dados não contemplados no projeto de lei em discussão,005.00049.2024
ata_8.pdf,"ATA DA DÉCIMA SÉTIMA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",TRINTA DE OUTUBRO DE DOIS MIL E VINTE E QUATRO,pedidos de vista sobre as proposições,005.00049.2024
ata_9.pdf,"ATA DA DÉCIMA SEXTA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",DÉCIMO SEXTO DIA DO MÊS DE OUTUBRO DE DOIS MIL E VINTE E QUATRO,"Discussão e acatação do parecer pelo trâmite regimental da proposição 005.00054.2024, envio de ofício ao Município questionando a realização de campanhas educativas na área da saúde e eventuais custos atrelados, encaminhamento de ofício ao Município questionando a execução das emendas parlamentares à Lei Orçamentária Anual para 2024, destinada aos hospitais de Curitiba",005.00054.2024
ata_10.pdf,"ATA DA DÉCIMA QUINTA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",nove de outubro de dois mil e vinte e quatro,"Pedidos de vista sobre as proposições, leitura, discussão, votação e acatamento como pareceres das manifestações pela admissibilidade da proposição 013.00003.2024, pela admissibilidade do projeto de lei orçamentária anual 013.00004.2024","005.00054.2024, 013.00003.2024, 013.00004.2024, 005.00019.2024"
